STORE NAME,LICENSE ID,ACCOUNT NUMBER,SQUARE FEET,BUFFER SIZE,ADDRESS,ZIP CODE,COMMUNITY AREA NAME,COMMUNITY AREA,WARD,CENSUS TRACT,CENSUS BLOCK,LATITUDE,LONGITUDE
Aldi Foods,1975886,5273,18600,A,3320 W BELMONT AVE,60618,AVONDALE,21,35,17031831100,170318311001026,41.9394051879,-87.7109005918
Berbate Fruit Market,1646036,296646,2500,B,3956 N NARRAGANSETT AVE,60634,DUNNING,17,38,17031170300,170311703001000,41.9527315616,-87.7866984426
Hegewisch Fruit Market Inc.,2020869,350864,7800,B,13209 S BALTIMORE AVE,60633,HEGEWISCH,55,10,17031550100,170315501006033,41.6551885903,-87.5469994185
Fresh Buy Foods Inc,23640,9535,26000,A,6319 S VERNON AVE,60637,WOODLAWN,42,20,17031420700,170314207005004,41.7796646515,-87.6142509361
Gaytan Grocery Store,85044,81586,3500,B,2802 S KOLIN AVE,60623,SOUTH LAWNDALE,30,22,17031301801,170313018011003,41.8403086304,-87.7331070590
Northwest Food & Liquor,1119636,209419,3180,B,5170 W NORTH AVE,60639,AUSTIN,25,37,17031250200,170312502001025,41.9096148952,-87.7554779679
Tai Wah Grocery,28038,63654,3200,B,2226 S WENTWORTH AVE,60616,ARMOUR SQUARE,34,25,17031841100,170318411004018,41.8521271977,-87.6321439957
Aldi Foods,1922075,5273,16615,A,6621 S COTTAGE GROVE AVE,60637,WOODLAWN,42,5,17031420800,170314208002008,41.7743058812,-87.6056480253
"Rich's Deli & Liquor, Inc",16735,6920,3400,B,857 N WESTERN AVE,60622,WEST TOWN,24,32,17031242400,170312424002016,41.8974609845,-87.6867385577
Walgreens,1248924,147,,A,6016 W 63RD ST,60638,CLEARING,64,23,17031640300,170316000000000,41.7779581600,-87.7722942000
Treasure Island Foods,1319,85291,10001,A,680 N LAKE SHORE DR,60611,NEAR NORTH SIDE,8,42,17031081401,170310814012011,41.8947983703,-87.6158666457
Discount Meat Company,13820,6377,4160,B,339 W 79TH ST,60620,CHATHAM,44,17,17031842400,170318424002003,41.7506874405,-87.6333809292
Oriental Asia Market Inc.,1903198,330517,7500,B,4932 N SHERIDAN RD,60640,UPTOWN,3,46,17031031200,170310312004004,41.9725559281,-87.6550576698
Viet Hoa Plaza,10540,85532,6174,B,1051 W ARGYLE ST,60640,UPTOWN,3,48,17031031200,170310312002000,41.9731740098,-87.6569923349
Polonia Food Mart,6455,3630,10001,A,1956 W ARMITAGE AVE,60622,LOGAN SQUARE,22,32,17031832300,170318323001065,41.9178707156,-87.6774806152
Aldi Foods,14002,5273,15540,A,4501 S PULASKI RD,60632,ARCHER HEIGHTS,57,14,17031570100,170315701001024,41.8114515422,-87.7235746544
One Stop,2032029,352811,2500,B,4401 W MADISON ST,60624,WEST GARFIELD PARK,26,28,17031260500,170312605001000,41.8804994508,-87.7355959610
El Barrio Grocery,42681,16221,10001,A,3938 W NORTH AVE,60647,HUMBOLDT PARK,23,30,17031230400,170312307004007,41.9100080401,-87.7254384633
Aaray Grocery,1900,62541,10001,A,2601 N HALSTED ST,60614,LINCOLN PARK,7,43,17031070200,170310702001009,41.9292098170,-87.6487462650
Broadway Supermarket,50737,17352,15000,A,4879 N BROADWAY,60640,UPTOWN,3,48,17031031200,170310312002005,41.9711711808,-87.6595809750
Foodsmart,46295,16644,3500,B,3415 W DIVERSEY AVE,60647,LOGAN SQUARE,22,35,17031220602,170312206025000,41.9318527752,-87.7129012497
Safah Food & Liquor Inc,14103,6462,3000,B,7105 S RACINE AVE,60636,ENGLEWOOD,68,17,17031681400,170316814002001,41.7648964002,-87.6539648335
Morgan Food Corp Llc,1270949,250439,3500,B,6600 S MORGAN ST,60621,ENGLEWOOD,68,17,17031681000,170316810003009,41.7741289538,-87.6496459973
The Produce Center,44723,16464,12000,A,5820 N MILWAUKEE AVE,60646,NORWOOD PARK,10,45,17031100100,170311001002047,41.9872696368,-87.7785157048
Whole Foods,2042084,5033,48735,A,5233 N LINCOLN AVE,60625,LINCOLN SQUARE,4,40,17031040202,170310402022002,41.9768950984,-87.6922796678
Walgreens,18468,147,,A,4005 W 26TH ST,60623,SOUTH LAWNDALE,30,22,17031301802,170313000000000,41.8441446900,-87.7247782500
Aldi Foods,14010,5273,10001,A,6025 S WESTERN AVE,60636,CHICAGO LAWN,66,16,17031835000,170318350001001,41.7839658423,-87.6836233778
Joe's Food And Liquor Depot,1575140,286898,4000,B,5834 W FULLERTON AVE,60639,BELMONT CRAGIN,19,30,17031190602,170311906023021,41.9239918266,-87.7722891067
Treasure Island Foods,1315,85291,10001,A,2121 N CLYBOURN AVE,60614,LINCOLN PARK,7,43,17031832500,170318325002021,41.9198996840,-87.6618055364
Jewel Food Store,1392,259,29421,A,7342 W FOSTER AVE,60656,NORWOOD PARK,10,41,17031100500,170311005002003,41.9745429477,-87.8113468842
Three R Food,1943396,339315,3000,B,2712 W MONTROSE AVE,60618,ALBANY PARK,14,33,17031140800,170311408002016,41.9613709450,-87.6966693474
Cermak Produce,1476657,273150,15000,A,1711 W CERMAK RD,60608,LOWER WEST SIDE,31,25,17031843200,170318432002043,41.8521678636,-87.6689750407
Puerto Rico Food & Liquors,2033049,353309,2500,B,2559 W AUGUSTA BLVD,60622,WEST TOWN,24,26,17031242500,170312425002002,41.8992215766,-87.6917381162
Carniceria La Azteca,1354069,262231,2500,B,7067 N CLARK ST,60626,ROGERS PARK,1,49,17031010702,170310107021002,42.0109629527,-87.6742146577
Whole Foods,1678048,86298,19740,A,3640 N HALSTED ST,60613,LAKE VIEW,6,44,17031061000,170310610001009,41.9485198030,-87.6496701249
Hong Kong Market,1892499,64229,46300,A,520 W 24TH PL,60616,ARMOUR SQUARE,34,25,17031841100,170318411003017,41.8482371659,-87.6409555275
Walgreens,18551,147,,A,6330 S DR MARTIN LUTHER KING JR DR,60637,GREATER GRAND CROSSING,69,20,17031842500,170318000000000,41.7792976100,-87.6157498800
Jewel Food Store,1000572,259,31951,A,7530 S STONY ISLAND AVE,60649,SOUTH SHORE,43,5,17031834200,170318342004016,41.7578056585,-87.5862682580
Cermak Produce,69608,21223,17000,A,2701 W NORTH AVE,60647,WEST TOWN,24,26,17031241000,170312410002000,41.9101322404,-87.6946003939
Rainbow Finer Food & Liquor,9138,4236,3500,B,6316 S ASHLAND AVE,60636,WEST ENGLEWOOD,67,16,17031671200,170316712001000,41.7789224055,-87.6643526811
Munchies On Larrabee,2073925,210118,2500,B,1012 N LARRABEE ST,60610,NEAR NORTH SIDE,8,27,17031842200,170318422001074,41.9008485875,-87.6432555365
Aldi Foods,14011,5273,37000,A,2333 E 95TH ST,60617,SOUTH DEERING,51,7,17031510300,170315103001005,41.7224662420,-87.5666730521
Mi Mexico Grocery,1494240,277614,2600,B,2601 W 59TH ST,60629,CHICAGO LAWN,66,16,17031835000,170318350005001,41.7863763432,-87.6887765140
Aldi Foods,14000,5273,14860,A,4030 W WRIGHTWOOD AVE,60639,LOGAN SQUARE,22,31,17031220702,170312207022005,41.9282078544,-87.7281585580
Key Food Liquor,17551,7109,3800,B,13355 S INDIANA AVE,60827,RIVERDALE,54,9,17031540101,170315401012014,41.6519728186,-87.6170837363
Europa Galleria Inc,1299537,253902,6500,B,340 W SUPERIOR ST,60610,NEAR NORTH SIDE,8,42,17031081800,170310818002018,41.8956627719,-87.6372207150
Personal Liquors Inc,8913,4189,6000,B,4241 W MADISON ST,60624,WEST GARFIELD PARK,26,28,17031260600,170312606001000,41.8805391992,-87.7322160373
Save-a-lot,1222884,216203,12000,A,5555 W NORTH AVE,60639,AUSTIN,25,37,17031250700,170312507004001,41.9092745667,-87.7651877850
Gilmart's  Food & Liquor,22715,9350,10001,A,5044 S ARCHER AVE,60632,ARCHER HEIGHTS,57,14,17031570300,170315703002016,41.8014000331,-87.7260437419
Anar Inc,31219,14297,10001,A,935 E 79TH ST,60619,CHATHAM,44,8,17031440101,170314401011006,41.7512179339,-87.6014014102
Clybourn Market,40522,15968,3500,B,2807 N CLYBOURN AVE,60618,NORTH CENTER,5,1,17031051400,170310514002008,41.9325791837,-87.6783274560
Serrelli's Foods,6981,62794,4000,B,6454 W NORTH AVE,60707,AUSTIN,25,36,17031250500,170312505002029,41.9092298950,-87.7871288207
Food 4 Less,1928152,251246,63506,A,112 W 87TH ST,60620,CHATHAM,44,21,17031842400,170318424002040,41.7363800456,-87.6275092190
Whole Foods,41678,5033,68000,A,424 W DIVISION ST,60610,NEAR NORTH SIDE,8,27,17031080400,170310804002003,41.9038839611,-87.6394372016
Super Jim's,37540,33441,4500,B,5147 W DIVISION ST,60651,AUSTIN,25,37,17031251100,170312511004002,41.9021472222,-87.7552393884
Aldi Foods,13988,5273,12500,A,800 N KEDZIE AVE,60651,HUMBOLDT PARK,23,27,17031836600,170318366001013,41.8956153135,-87.7067053251
A & G Liquors,44373,35423,4800,B,6945 S STATE ST,60637,GREATER GRAND CROSSING,69,6,17031690400,170316904003005,41.7678312792,-87.6247659397
Busy Bee Supermarket,1974525,343785,2500,B,5659 S ASHLAND AVE,60636,WEST ENGLEWOOD,67,16,17031670200,170316702001016,41.7904800194,-87.6643450657
Luciano's Grocery-18th St,1380524,265429,6000,B,1714 W 18TH ST,60608,LOWER WEST SIDE,31,25,17031310800,170313108001010,41.8578565675,-87.6694195956
Crespo's Food Mart,40132,15902,2800,B,4353 W MADISON ST,60624,WEST GARFIELD PARK,26,28,17031260600,170312606001001,41.8805049950,-87.7351228503
Armitage Produce Inc,1771323,4469,14340,A,2007 N KIMBALL AVE,60647,LOGAN SQUARE,22,35,17031221100,170312211002029,41.9175624189,-87.7117551087
Rodriguez Fruits & Vegetable,18231,7487,2626,B,2458 S ST LOUIS AVE,60623,SOUTH LAWNDALE,30,22,17031300700,170313007003004,41.8463298609,-87.7125513997
Jewel Food Store,1226337,259,31600,A,550 N STATE ST,60610,NEAR NORTH SIDE,8,42,17031081600,170310816001003,41.8924213661,-87.6282348711
Jewel Food Store,1225534,259,49513,A,6107 S ARCHER AVE,60638,GARFIELD RIDGE,56,23,17031560800,170315608002027,41.7943548532,-87.7705271521
Supermercado La Chiqutia # 4,49303,89325,10001,A,2623 S PULASKI RD,60623,SOUTH LAWNDALE,30,22,17031301701,170313017013005,41.8435348913,-87.7243821794
International Supermarket Inc,16712,6917,7500,B,4556 S ASHLAND AVE,60609,NEW CITY,61,3,17031610400,170316104001000,41.8105656774,-87.6651705169
West Lawn Foods,1591726,289367,17000,A,5838 S PULASKI RD,60629,WEST ELSDON,62,13,17031620300,170316203002019,41.7866084095,-87.7231300289
"La Nueva Imagen Grocery, Inc.",1804216,315282,3000,B,2459 S MILLARD AVE,60623,SOUTH LAWNDALE,30,22,17031300600,170313006002001,41.8462971046,-87.7159164295
S & T Provision Co Inc,12173,6018,10001,A,3804 W 111TH ST,60655,MOUNT GREENWOOD,74,19,17031740300,170317403001022,41.6914459103,-87.7156731039
Parkshore Market Ltd,26464,10858,2860,B,195 N HARBOR DR,60601,LOOP,32,42,17031320100,170313201004007,41.8861772806,-87.6155996011
Carniceria Guanajuato,2069477,358374,9325,B,5250 W FULLERTON AVE,60639,BELMONT CRAGIN,19,31,17031190702,170311907023020,41.9241891458,-87.7582297412
Jardan Food & Liquor,11226,5270,9500,B,317 E GARFIELD BLVD,60637,WASHINGTON PARK,40,3,17031400400,170314004001003,41.7943249341,-87.6185206053
Los Cuatro Hermanos Grocery,7790,62837,10001,A,1858 S ALLPORT ST,60608,LOWER WEST SIDE,31,25,17031310600,170313106002002,41.8562022212,-87.6577449724
Eddy's Food Mart,1879269,324962,4000,B,7575 N ROGERS AVE,60626,ROGERS PARK,1,49,17031010300,170310103002005,42.0191646250,-87.6683972880
Mayfair Market Place,1948869,340165,12000,A,4728 N PULASKI RD,60630,ALBANY PARK,14,39,140500,170311405001000,41.9672666701,-87.7281470478
The Unit,2021618,351168,3500,B,2523 E 75TH ST,60649,SOUTH SHORE,43,7,17031431302,170314313022003,41.7589223174,-87.5628760391
Moroleon Foods #2 Inc.,1801622,314329,3025,B,4257 S ROCKWELL ST,60632,BRIGHTON PARK,58,12,17031580700,170315807003005,41.8157711158,-87.6893858973
Supermercado Guadalajara,2042000,354339,3800,B,3100 W CERMAK RD,60623,SOUTH LAWNDALE,30,24,17031841700,170318417001009,41.8519083675,-87.7028759890
Stop & Go Food Mart,26776,11123,3250,B,1622 W MONTEREY AVE,60643,MORGAN PARK,75,34,17031750600,170317506004009,41.6895747692,-87.6627231456
Aldi Foods,13996,5273,19410,A,620 W 63RD ST,60621,ENGLEWOOD,68,16,17031680900,170316809004003,41.7799200473,-87.6409255107
First Choice Market,1969290,342952,10000,A,3019 E 91ST ST,60617,SOUTH CHICAGO,46,10,17031461000,170314610001014,41.7299778712,-87.5503825944
Kordian's Market,28114,11448,4610,B,6332 W HIGGINS AVE,60630,JEFFERSON PARK,11,45,17031110300,170311103002023,41.9759840467,-87.7865613104
Whole Foods,41682,5033,26819,A,959 W FULLERTON AVE,60614,LINCOLN PARK,7,43,17031071100,170310711002000,41.9252682757,-87.6534875641
Aldi Foods,13978,5273,14000,A,5001 N PULASKI RD,60630,ALBANY PARK,14,39,17031140302,170311403023005,41.9719812207,-87.7279868979
All Star Food & Liquor,1922124,319069,4200,B,2911 S ARCHER AVE,60608,BRIDGEPORT,60,11,17031600700,170316007001000,41.8414840391,-87.6580219776
Shop Wise Food,1334440,259101,6000,B,316 W 103RD ST,60628,ROSELAND,49,9,17031490700,170314907003028,41.7071739515,-87.6314024214
"H & A Food Market, Inc.",1379268,217567,2500,B,1007 W 63RD ST,60621,ENGLEWOOD,68,16,17031681000,170316810004004,41.7795645849,-87.6499748357
Gemelos Food/ Check Cashing Services,1045757,203580,6600,B,4300 S MOZART ST,60632,BRIGHTON PARK,58,14,17031580502,170315805023027,41.8154320010,-87.6957977900
Aldi Foods,1975885,5273,16924,A,1840 N CLYBOURN AVE,60614,LINCOLN PARK,7,32,17031832600,170318326002019,41.9144237141,-87.6546278430
Superior Nut & Candy  Co.I Inc.,1122087,26728,10005,A,1111 W 40TH ST,60609,NEW CITY,61,11,17031842600,170318426002016,41.8209574940,-87.6537783218
La Perla Tapatia Bakery,1698,85292,3000,B,4214 W NORTH AVE,60639,HUMBOLDT PARK,23,30,17031230500,170312306004000,41.9099197540,-87.7319712570
"Rio Grande Fruit Market, Inc.",1042285,201574,3750,B,3501 W NORTH AVE,60647,HUMBOLDT PARK,23,26,17031230800,170312308001000,41.9099107051,-87.7143855102
Miara's Cont'l Pastry Deli Inc,10400,4623,5000,B,7051 W ADDISON ST,60634,DUNNING,17,36,17031171000,170311710005004,41.9452338231,-87.8029266385
J And P Finer Foods,1567,299,4500,B,3501 W MONTROSE AVE,60618,IRVING PARK,16,33,17031160501,170311605012002,41.9609885935,-87.7156463163
Neil's Food,1998505,221849,3500,B,7749 S HALSTED ST,60620,AUBURN GRESHAM,71,17,17031710100,170317101001007,41.7528304183,-87.6439505248
Chicago Food Corp,1169745,11429,10000,A,5800 N PULASKI RD,60646,NORTH PARK,13,39,17031130200,170311302001009,41.9859279924,-87.7286634185
Jewel Food Store,1323,259,25356,A,5343 N BROADWAY,60640,EDGEWATER,77,48,17031030703,170310307031001,41.9794282549,-87.6598058547
Jewel Food Store,1382,259,24815,A,3570 N ELSTON AVE,60618,AVONDALE,21,35,17031831100,170318311001001,41.9460576040,-87.7082301098
5659 W. Diversey,1575023,277375,4000,B,5659 W DIVERSEY AVE,60639,BELMONT CRAGIN,19,30,17031190602,170311906022001,41.9311354035,-87.7686121306
Macias Produce Inc.,1648017,297549,7000,B,8933 S COMMERCIAL AVE,60617,SOUTH CHICAGO,46,10,17031833900,170318339001015,41.7327335949,-87.5511727836
Dililah Grocery,1986580,346168,3125,B,1759 W 21ST ST,60608,LOWER WEST SIDE,31,25,17031310800,170313108003012,41.8539678804,-87.6708701882
Whole Foods,41617,5033,10001,A,2550 N CLYBOURN AVE,60614,LINCOLN PARK,7,32,17031070700,170310707002005,41.9278717231,-87.6732588146
Outlet Kingdom,2054475,356046,4000,B,3449 S HALSTED ST,60608,BRIDGEPORT,60,11,17031839700,170318397002011,41.8310749437,-87.6459711122
La International,57700,18542,3000,B,4301 S ARCHER AVE,60632,BRIGHTON PARK,58,14,17031580502,170315805021004,41.8153006937,-87.7020416008
Pete's Market,1448266,271341,10000,A,1411 W 87TH ST,60620,AUBURN GRESHAM,71,21,17031711400,170317114001001,41.7357448514,-87.6587177057
"Calma Optimal Deli, Inc.",1991322,346718,3000,B,5155 W ADDISON ST,60641,PORTAGE PARK,15,38,17031151001,170311510011000,41.9458951009,-87.7566458523
Harbor Market,44759,16473,4200,B,155 N HARBOR DR,60601,LOOP,32,42,17031320100,170313201004020,41.8847505385,-87.6156039565
"Sweqi Food Mart, Inc.",2055024,356315,2600,B,4100 W NORTH AVE,60639,HUMBOLDT PARK,23,30,17031230500,170312306001001,41.9099608832,-87.7288749604
Wally's Market Inc,72825,21938,33000,A,6601 W IRVING PARK RD,60634,DUNNING,17,38,17031170300,170311703001003,41.9527216579,-87.7913622126
Saveway Food,1594450,290756,3000,B,313 E 43RD ST,60653,GRAND BOULEVARD,38,3,17031835800,170318358001004,41.8164863247,-87.6191968314
Carniceria&fruteria El Mitote,49322,17160,4500,B,4459 W BELMONT AVE,60641,HERMOSA,20,31,17031200100,170312001003000,41.9388195147,-87.7394338028
Lemen Sun Corp.,28022,11427,3600,B,2832 S WENTWORTH AVE,60616,ARMOUR SQUARE,34,11,17031340400,170313404001020,41.8416044818,-87.6319155034
Super Dollar Discount,2032403,353027,3500,B,4801 S ASHLAND AVE,60609,NEW CITY,61,20,17031611200,170316112002007,41.8066939242,-87.6647716526
Save-a-lot,1353496,216203,14800,A,4701 S COTTAGE GROVE AVE,60615,KENWOOD,39,4,17031390400,170313904002002,41.8094892465,-87.6064174294
Treasure Island Foods,1307,85291,10001,A,1639 N WELLS ST,60614,LINCOLN PARK,7,43,17031071500,170310715005003,41.9123117952,-87.6345988555
"Ogies Food, Inc",26972,11210,10001,A,2600 W LITHUANIAN PLAZA CT,60629,CHICAGO LAWN,66,15,17031660900,170316609003018,41.7683658358,-87.6883009077
Supermercado El Guero #10 Inc,39978,10046,10001,A,4023 S ARCHER AVE,60632,BRIGHTON PARK,58,12,17031580600,170315806002005,41.8205830407,-87.6934261660
Trader Joe's,1991799,211718,15000,A,3745 N LINCOLN AVE,60613,NORTH CENTER,5,47,17031050600,170310506002002,41.9499611711,-87.6756711293
Whole Foods,1969836,5033,59488,A,6623 N DAMEN AVE,60645,WEST RIDGE,2,50,17031020500,170310205003006,42.0022233751,-87.6801288280
Aldi Foods,1743166,5273,16890,A,7333 S STATE ST,60619,GREATER GRAND CROSSING,69,6,17031691000,170316910003005,41.7608808720,-87.6246657846
Aldi Foods,1959623,5273,15680,A,6221 N BROADWAY,60660,EDGEWATER,77,49,17031030103,170310301031003,41.9952114602,-87.6602779929
Fairplay Foods Inc,10947,86481,18500,A,2323 W 111TH ST,60643,MORGAN PARK,75,19,17031750500,170317505001002,41.6916792040,-87.6797791725
Hilltop Liquors Mart,788,148,3200,B,10259 S MICHIGAN AVE,60628,ROSELAND,49,9,17031490800,170314908005007,41.7072479748,-87.6200563640
Big Apple Finer Foods Inc,4900,3297,9000,B,2345 N CLARK ST,60614,LINCOLN PARK,7,43,17031071400,170310714003003,41.9249661791,-87.6399260190
Avenue Food Mar Inc,1246771,20727,18000,A,6850 W BELMONT AVE,60634,DUNNING,17,36,17031171000,170311710003022,41.9382373760,-87.7977603483
Fresh Farms International,30144,12018,9500,B,2626 W DEVON AVE,60659,WEST RIDGE,2,50,17031020602,170310206023013,41.9977359091,-87.6959288805
Lake View Foods Inc,2055,408,3100,B,4106 N SHERIDAN RD,60613,UPTOWN,3,46,17031032100,170310321003005,41.9570402995,-87.6547628922
The Cellar,1574603,286737,5000,B,3106 N HARLEM AVE,60634,DUNNING,17,36,17031170900,170311709001018,41.9366131328,-87.8068475211
Mariano's Fresh Market #8507,2163771,360006,,A,5353 N ELSTON AVE,60630,JEFFERSON PARK,11,45,17031110100,170311000000000,41.9787102600,-87.7571537700
Rainbow Grocery,61801,19562,2500,B,2003 W 69TH ST,60636,WEST ENGLEWOOD,67,17,17031671500,170316715002005,41.7683283348,-87.6738193840
"Carniceria La Hacienda, Inc.",1492826,276948,4000,B,3459 W 59TH ST,60629,CHICAGO LAWN,66,16,17031660400,170316604004000,41.7860244010,-87.7106047774
Cicero Deli Inc.,20884,8639,3600,B,3206 N CICERO AVE,60641,PORTAGE PARK,15,30,17031151002,170311510024009,41.9390466700,-87.7470219655
K Buena,1999075,65396,3500,B,4322 W MARQUETTE RD,60629,WEST LAWN,65,13,17031650301,170316503012017,41.7713833198,-87.7309533689
Jewel Food Store,1333,259,23845,A,1210 N CLARK ST,60610,NEAR NORTH SIDE,8,42,17031080202,170310802021001,41.9042652283,-87.6316032946
Nancy Foods Inc,79959,23327,2500,B,12315 S STATE ST,60628,WEST PULLMAN,53,9,17031530600,170315306002026,41.6702523999,-87.6222719562
Windy City Inc,24289,9833,4225,B,324 S CICERO AVE,60644,AUSTIN,25,24,17031252202,170312522025003,41.8759443554,-87.7452502275
One Stop Food & Liquor Store,1094,205,58000,A,4301 S LAKE PARK AVE,60653,KENWOOD,39,4,17031390100,170313901001006,41.8168651481,-87.5986888442
D & A Food & Liquor,46444,7945,5500,B,1601 W GARFIELD BLVD,60636,WEST ENGLEWOOD,67,15,17031670300,170316703002005,41.7935543630,-87.6646375512
Ultra Foods,1741082,308026,87600,A,3250 W 87TH ST,60652,ASHBURN,70,18,17031700402,170317004023025,41.7352740895,-87.7035112835
Pete's Market,1771242,312119,75000,A,2526 W CERMAK RD,60608,SOUTH LAWNDALE,30,28,17031840700,170318407003019,41.8521006532,-87.6890511106
Carniceria Guanajuato,2060960,357299,9000,B,3132 N CALIFORNIA AVE,60618,AVONDALE,21,33,17031210800,170312108001001,41.9385697153,-87.6979459455
Mini Mercado La Betania,33473,3205,2640,B,2800 S TRIPP AVE,60623,SOUTH LAWNDALE,30,22,17031301803,170313018033002,41.8403965367,-87.7306750125
Jerusalem Liquors,440,80,4500,B,3133 W LAWRENCE AVE,60625,ALBANY PARK,14,33,17031140800,170311408005007,41.9683547002,-87.7073943249
Walgreens,1144217,147,,A,2924 E 92ND ST,60617,SOUTH CHICAGO,46,7,17031461000,170315000000000,41.7283365400,-87.5528602400
Jewel Food Store,1388,259,20860,A,3128 W 103RD ST,60655,MOUNT GREENWOOD,74,19,17031740100,170317401001002,41.7063128446,-87.6997671192
Walgreens,1959845,7551,,A,1627 N PULASKI RD,60639,HUMBOLDT PARK,23,30,17031230400,170312000000000,41.9107144800,-87.7262104200
Tierra Caliente Market,1769425,311388,3125,B,1402 N ASHLAND AVE,60622,WEST TOWN,24,1,17031241500,170312415002014,41.9071018181,-87.6677396553
Quality Food On 71 St Inc,76481,22614,3000,B,2557 W 71ST ST,60629,CHICAGO LAWN,66,18,17031661000,170316610004004,41.7645116769,-87.6879866550
Jewel Food Store,1402,259,25431,A,3644 S ARCHER AVE,60609,MCKINLEY PARK,59,11,17031590500,170315905001037,41.8275838968,-87.6824544425
Cermak Produce,1770942,311980,17000,A,3311 W 26TH ST,60623,SOUTH LAWNDALE,30,22,17031840800,170318408001003,41.8443667287,-87.7078980538
